time,latitude,longitude,buoy_id,buoy_type,buoy_owner,logistics,hemisphere,year,hour,minute,day_of_year
UTC,degrees_north,degrees_east,,,,,,,,,
2014-10-03T00:00:00Z,82.7344,32.223,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,0.0,0.0,276.0
2014-10-03T01:00:28Z,82.734,32.1534,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,1.0,0.0,276.042
2014-10-03T01:59:31Z,82.7336,32.0738,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,2.0,0.0,276.083
2014-10-03T03:00:00Z,82.734,31.987,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,3.0,0.0,276.125
2014-10-03T04:00:28Z,82.7352,31.8958,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,4.0,0.0,276.167
2014-10-03T04:59:31Z,82.7368,31.8082,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,5.0,0.0,276.208
2014-10-03T06:00:00Z,82.7384,31.7284,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,6.0,0.0,276.25
2014-10-03T07:00:28Z,82.7394,31.66,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,7.0,0.0,276.292
2014-10-03T07:59:31Z,82.7396,31.606,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,8.0,0.0,276.333
2014-10-03T09:00:00Z,82.7374,31.5608,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,9.0,0.0,276.375
2014-10-03T10:00:28Z,82.7332,31.5176,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,10.0,0.0,276.417
2014-10-03T10:59:31Z,82.7272,31.4722,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,11.0,0.0,276.458
2014-10-03T12:00:00Z,82.7204,31.4228,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,12.0,0.0,276.5
2014-10-03T13:00:28Z,82.7134,31.3604,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,13.0,0.0,276.542
2014-10-03T13:59:31Z,82.7074,31.2898,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,14.0,0.0,276.583
2014-10-03T15:00:00Z,82.7028,31.2164,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,15.0,0.0,276.625
2014-10-03T16:00:28Z,82.6998,31.1448,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,16.0,0.0,276.667
2014-10-03T16:59:31Z,82.6984,31.0812,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,17.0,0.0,276.708
2014-10-03T18:00:00Z,82.6984,31.0322,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,18.0,0.0,276.75
2014-10-03T19:00:28Z,82.6988,30.9988,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,19.0,0.0,276.792
2014-10-03T19:59:31Z,82.6988,30.9786,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,20.0,0.0,276.833
2014-10-03T21:00:00Z,82.6984,30.9684,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,21.0,0.0,276.875
2014-10-03T22:00:28Z,82.6974,30.962,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,22.0,0.0,276.917
2014-10-03T22:59:31Z,82.6956,30.9576,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,23.0,0.0,276.958
2014-10-04T00:00:00Z,82.6934,30.9446,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,0.0,0.0,277.0
2014-10-04T01:00:28Z,82.6916,30.9224,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,1.0,0.0,277.042
2014-10-04T01:59:31Z,82.6912,30.8888,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,2.0,0.0,277.083
2014-10-04T03:00:00Z,82.6918,30.8456,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,3.0,0.0,277.125
2014-10-04T04:00:28Z,82.694,30.7984,300234011246740,UPTEMPO,PSC-UPTEMPO,Federov,North,2014.0,4.0,0.0,277.167
