region,date,buoy_ids,n_buoys
region-27_0-82_951-35_52-83_8,2014-12-10,300234061369400.0,1
region-27_0-82_951-35_52-83_8,2014-12-11,300234061369400.0,1
region-27_0-82_951-35_52-83_8,2014-12-12,300234061369400.0,1
region-27_0-82_951-35_52-83_8,2014-12-13,300234061369400.0,1
region-27_0-82_951-35_52-83_8,2014-12-14,300234061369400.0,1
region-27_0-82_951-35_52-83_8,2014-12-15,300234061369400.0,1
region-27_0-82_951-35_52-83_8,2014-12-16,300234061369400.0,1
region-27_0-82_951-35_52-83_8,2014-12-17,300234061369400.0,1
region-27_0-82_951-35_52-83_8,2014-12-18,300234061369400.0,1
region-27_0-82_951-35_52-83_8,2014-12-19,300234061369400.0,1
region-27_0-82_951-35_52-83_8,2014-12-21,300234061369400.0,1
region-27_0-82_951-35_52-83_8,2014-12-22,300234061369400.0,1
region-27_0-82_951-35_52-83_8,2014-12-23,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8,2014-12-24,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8,2014-12-25,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8,2014-12-26,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8,2014-12-27,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8,2014-12-28,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8,2014-12-29,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8,2014-12-30,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8,2014-12-31,300234011247800.0,1
region-27_0-82_951-35_52-83_8,2015-01-01,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8,2015-01-28,90075.0,1
region-27_0-82_951-35_52-83_8,2015-01-29,90075.0,1
region-27_0-82_951-35_52-83_8,2015-01-30,90075.0,1
region-27_0-82_951-35_52-83_8,2015-01-31,90075.0,1
region-27_0-82_951-35_52-83_8,2015-02-01,90075.0,1
region-27_0-82_951-35_52-83_8,2015-02-02,90075.0,1
