tiff_path,region,date,buoy_ids,n_buoys
region-27_0-82_951-35_52-83_8/2014/12/10/20141210T0743.tiff,region-27_0-82_951-35_52-83_8,2014-12-10,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/11/20141211T1318.tiff,region-27_0-82_951-35_52-83_8,2014-12-11,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/11/20141211T0646.tiff,region-27_0-82_951-35_52-83_8,2014-12-11,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/12/20141212T0727.tiff,region-27_0-82_951-35_52-83_8,2014-12-12,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/12/20141212T1359.tiff,region-27_0-82_951-35_52-83_8,2014-12-12,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/13/20141213T1301.tiff,region-27_0-82_951-35_52-83_8,2014-12-13,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/13/20141213T0807.tiff,region-27_0-82_951-35_52-83_8,2014-12-13,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/14/20141214T1342.tiff,region-27_0-82_951-35_52-83_8,2014-12-14,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/14/20141214T0711.tiff,region-27_0-82_951-35_52-83_8,2014-12-14,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/15/20141215T1246.tiff,region-27_0-82_951-35_52-83_8,2014-12-15,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/15/20141215T0751.tiff,region-27_0-82_951-35_52-83_8,2014-12-15,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/16/20141216T0654.tiff,region-27_0-82_951-35_52-83_8,2014-12-16,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/16/20141216T1326.tiff,region-27_0-82_951-35_52-83_8,2014-12-16,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/17/20141217T1407.tiff,region-27_0-82_951-35_52-83_8,2014-12-17,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/17/20141217T0735.tiff,region-27_0-82_951-35_52-83_8,2014-12-17,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/18/20141218T0637.tiff,region-27_0-82_951-35_52-83_8,2014-12-18,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/18/20141218T1309.tiff,region-27_0-82_951-35_52-83_8,2014-12-18,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/19/20141219T1350.tiff,region-27_0-82_951-35_52-83_8,2014-12-19,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/19/20141219T0719.tiff,region-27_0-82_951-35_52-83_8,2014-12-19,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/21/20141221T1334.tiff,region-27_0-82_951-35_52-83_8,2014-12-21,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/21/20141221T0702.tiff,region-27_0-82_951-35_52-83_8,2014-12-21,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/22/20141222T0743.tiff,region-27_0-82_951-35_52-83_8,2014-12-22,300234061369400.0,1
region-27_0-82_951-35_52-83_8/2014/12/23/20141223T0646.tiff,region-27_0-82_951-35_52-83_8,2014-12-23,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/23/20141223T1318.tiff,region-27_0-82_951-35_52-83_8,2014-12-23,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/24/20141224T0727.tiff,region-27_0-82_951-35_52-83_8,2014-12-24,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/24/20141224T1359.tiff,region-27_0-82_951-35_52-83_8,2014-12-24,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/25/20141225T1301.tiff,region-27_0-82_951-35_52-83_8,2014-12-25,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/25/20141225T0808.tiff,region-27_0-82_951-35_52-83_8,2014-12-25,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/26/20141226T1342.tiff,region-27_0-82_951-35_52-83_8,2014-12-26,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/26/20141226T0711.tiff,region-27_0-82_951-35_52-83_8,2014-12-26,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/27/20141227T1246.tiff,region-27_0-82_951-35_52-83_8,2014-12-27,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/27/20141227T0751.tiff,region-27_0-82_951-35_52-83_8,2014-12-27,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/28/20141228T0654.tiff,region-27_0-82_951-35_52-83_8,2014-12-28,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/28/20141228T1326.tiff,region-27_0-82_951-35_52-83_8,2014-12-28,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/29/20141229T1228.tiff,region-27_0-82_951-35_52-83_8,2014-12-29,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/29/20141229T0735.tiff,region-27_0-82_951-35_52-83_8,2014-12-29,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/30/20141230T1309.tiff,region-27_0-82_951-35_52-83_8,2014-12-30,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2014/12/31/20141231T1350.tiff,region-27_0-82_951-35_52-83_8,2014-12-31,300234011247800.0,1
region-27_0-82_951-35_52-83_8/2014/12/31/20141231T0719.tiff,region-27_0-82_951-35_52-83_8,2014-12-31,300234011247800.0,1
region-27_0-82_951-35_52-83_8/2015/01/01/20150101T1431.tiff,region-27_0-82_951-35_52-83_8,2015-01-01,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2015/01/01/20150101T0759.tiff,region-27_0-82_951-35_52-83_8,2015-01-01,"300234011247800.0,90074.0",2
region-27_0-82_951-35_52-83_8/2015/02/03/20150203T1407.tiff,region-27_0-82_951-35_52-83_8,2015-02-03,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/03/20150203T0735.tiff,region-27_0-82_951-35_52-83_8,2015-02-03,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/04/20150204T1309.tiff,region-27_0-82_951-35_52-83_8,2015-02-04,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/04/20150204T0637.tiff,region-27_0-82_951-35_52-83_8,2015-02-04,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/17/20150217T1350.tiff,region-27_0-82_951-35_52-83_8,2015-02-17,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/17/20150217T0719.tiff,region-27_0-82_951-35_52-83_8,2015-02-17,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/18/20150218T1431.tiff,region-27_0-82_951-35_52-83_8,2015-02-18,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/18/20150218T0759.tiff,region-27_0-82_951-35_52-83_8,2015-02-18,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/19/20150219T0840.tiff,region-27_0-82_951-35_52-83_8,2015-02-19,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/21/20150221T1318.tiff,region-27_0-82_951-35_52-83_8,2015-02-21,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/21/20150221T0824.tiff,region-27_0-82_951-35_52-83_8,2015-02-21,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/22/20150222T1359.tiff,region-27_0-82_951-35_52-83_8,2015-02-22,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/22/20150222T0727.tiff,region-27_0-82_951-35_52-83_8,2015-02-22,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/23/20150223T1301.tiff,region-27_0-82_951-35_52-83_8,2015-02-23,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/23/20150223T0807.tiff,region-27_0-82_951-35_52-83_8,2015-02-23,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/24/20150224T0710.tiff,region-27_0-82_951-35_52-83_8,2015-02-24,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/24/20150224T1342.tiff,region-27_0-82_951-35_52-83_8,2015-02-24,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/25/20150225T0751.tiff,region-27_0-82_951-35_52-83_8,2015-02-25,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/25/20150225T1246.tiff,region-27_0-82_951-35_52-83_8,2015-02-25,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/26/20150226T1326.tiff,region-27_0-82_951-35_52-83_8,2015-02-26,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/26/20150226T0832.tiff,region-27_0-82_951-35_52-83_8,2015-02-26,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/27/20150227T0735.tiff,region-27_0-82_951-35_52-83_8,2015-02-27,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/27/20150227T1407.tiff,region-27_0-82_951-35_52-83_8,2015-02-27,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/28/20150228T0637.tiff,region-27_0-82_951-35_52-83_8,2015-02-28,90075.0,1
region-27_0-82_951-35_52-83_8/2015/02/28/20150228T1309.tiff,region-27_0-82_951-35_52-83_8,2015-02-28,90075.0,1
region-27_0-82_951-35_52-83_8/2015/03/01/20150301T0719.tiff,region-27_0-82_951-35_52-83_8,2015-03-01,90075.0,1
region-27_0-82_951-35_52-83_8/2015/03/01/20150301T1350.tiff,region-27_0-82_951-35_52-83_8,2015-03-01,90075.0,1
region-27_0-82_951-35_52-83_8/2015/03/02/20150302T0759.tiff,region-27_0-82_951-35_52-83_8,2015-03-02,90075.0,1
region-27_0-82_951-35_52-83_8/2015/03/02/20150302T1431.tiff,region-27_0-82_951-35_52-83_8,2015-03-02,90075.0,1
region-27_0-82_951-35_52-83_8/2015/03/03/20150303T0702.tiff,region-27_0-82_951-35_52-83_8,2015-03-03,90075.0,1
region-27_0-82_951-35_52-83_8/2015/03/03/20150303T1334.tiff,region-27_0-82_951-35_52-83_8,2015-03-03,90075.0,1
region-27_0-82_951-35_52-83_8/2015/03/04/20150304T0743.tiff,region-27_0-82_951-35_52-83_8,2015-03-04,90075.0,1
region-27_0-82_951-35_52-83_8/2015/03/04/20150304T1415.tiff,region-27_0-82_951-35_52-83_8,2015-03-04,90075.0,1
region-27_0-82_951-35_52-83_8/2015/03/05/20150305T0824.tiff,region-27_0-82_951-35_52-83_8,2015-03-05,90075.0,1
region-27_0-82_951-35_52-83_8/2015/03/05/20150305T1318.tiff,region-27_0-82_951-35_52-83_8,2015-03-05,90075.0,1
region-27_0-82_951-35_52-83_8/2015/03/06/20150306T1359.tiff,region-27_0-82_951-35_52-83_8,2015-03-06,90075.0,1
region-27_0-82_951-35_52-83_8/2015/03/06/20150306T0727.tiff,region-27_0-82_951-35_52-83_8,2015-03-06,90075.0,1
