split,group_type,group_key,calendar_year,season,season_year,n_samples_used,n_pixels_used,A,B,alpha,theta_rad,theta_deg
train,overall,all,,,,5658,5932843008,0.02102816893328992,0.007755207239116886,0.022412655532279755,0.35332478130737843,20.244018766295586
train,year,2014,2014,,,451,472907776,0.02213512750830012,0.006037153507607547,0.022943650369614748,0.26626468709354123,15.255842803831396
train,year,2015,2015,,,1449,1519386624,0.021346290035327658,0.0071177265801954095,0.02250169171290792,0.3218473789435978,18.440496460815833
train,year,2016,2016,,,442,463470592,0.019119279147605563,0.006823600889185232,0.020300452315624752,0.34280529916422026,19.641296836829387
train,year,2017,2017,,,1041,1091567616,0.021221742222843124,0.00887176959960967,0.02300153557485589,0.39597005156720555,22.687412768378447
train,year,2018,2018,,,696,729808896,0.021553043726703754,0.008949336262934086,0.023337187350498584,0.3935610473600027,22.549386994476464
train,year,2019,2019,,,1579,1655701504,0.020476118065190962,0.008030175731778518,0.02199443414373019,0.37374059805184356,21.413758901065954
train,season,DJF,,DJF,,1796,1883242496,0.0219765064408984,0.0064480662565912445,0.022902934174385593,0.28539747663410975,16.352070894818016
train,season,MAM,,MAM,,2223,2330984448,0.020826849631289345,0.007644773936186155,0.022185586178862356,0.3517944523895509,20.156337378037247
train,season,JJA,,JJA,,355,372244480,0.01896989309437181,0.010470206090068221,0.021667534690877892,0.5043299509846771,28.895977673461676
train,season,SON,,SON,,1284,1346371584,0.020252142237610796,0.009432401400242535,0.022340981656760666,0.43587278485392394,24.973670976743595
train,year_season,2014_SON,,SON,2014,83,87031808,0.021984184723959646,0.010302878869437397,0.024278667405265065,0.43825422421336246,25.11011740120576
train,year_season,2015_DJF,,DJF,2015,774,811597824,0.022290523266738072,0.005679037554375567,0.023002584529765332,0.24946642166158114,14.293373091439577
train,year_season,2015_MAM,,MAM,2015,729,764411904,0.021217192236727446,0.0068938217507791295,0.022309057011486673,0.31415662625983687,17.999848790757422
train,year_season,2015_JJA,,JJA,2015,33,34603008,0.019611507898725542,0.0061894009760186785,0.020565017055760377,0.30570699104295,17.515720354404696
train,year_season,2015_SON,,SON,2015,194,203423744,0.018743308062046195,0.011172537119863693,0.021820567884532658,0.5375331874198077,30.79838298736966
train,year_season,2016_DJF,,DJF,2016,158,165675008,0.021952848965472654,0.004539734212350567,0.022417331786357627,0.20392036780954143,11.683776432242135
train,year_season,2016_MAM,,MAM,2016,74,77594624,0.020983337511761697,0.006783489256578749,0.02205257761865095,0.3126752555651896,17.91497250205977
train,year_season,2016_JJA,,JJA,2016,8,8388608,0.015099591718505632,0.006104796523436524,0.01628699513900973,0.3842095667394326,22.013586622719416
train,year_season,2016_SON,,SON,2016,225,235929600,0.017351731671572102,0.009137461024807402,0.01961060391681278,0.484702227978005,27.771391983727536
train,year_season,2017_DJF,,DJF,2017,141,147849216,0.020021146617975494,0.0059745668618073336,0.0208935818155882,0.2900000325271059,16.61577792245976
train,year_season,2017_MAM,,MAM,2017,508,532676608,0.02190994815411745,0.00976744875913135,0.02398851565600446,0.41935548534570743,24.02729942596928
